que_id,test_id,que_desc,ans1,ans2,ans3,ans4,true_ans
96,8,In FlexLinks Channels can be  upto,114,120,100,Both a and b,4
97,8,Which range specifies CWDM?,1270nm-1610nm,1910nm - 1560nm,1570nm-1610nm,1470nm-1610nm,1
98,8,what is OT stands for?,Optical Transport,Optical Translayer,Optical Transponder,Optical Trail,3
99,8,What is LD stands  for?,Line Drawer,Line Design,Line Driver,Load Driver,3
100,8,What is WR Stands for?,Wavelength Router,Wavelength Rider,Wave Redesign,Wave Rider,1
101,8,In ATM data is transferred in packets or cells of ------ size?,Variable,Random,Depends on Data,Always Fixed,4
102,8,Ethernet works in ---------- topology?,Linear ,Star,Bus,both b and c,4
103,8,OAMP stands for?,Operation- asynchronous- mode of Provisioning,Operation- administration- maintenance and Provisioning,Operation- accounting- management- Performance,Operability- accountability- management- Performance,2
104,8,What is OC192 Bit rate?,9953.28Mbps,543.21 Mbps ,9953.28 Gbps ,99953.23 Bps,1
105,8,OC768 equivalent SDH signal----------- STM?,STM-16,STM-64,STM-128,STM-256,4
106,8,In a optical system at the receiving side which component receives the electrical signals?,Scrambler,Transponder,Photo diode,None,3
107,8,In which media the signal loss is more?,Optical ,Glass,Electronics,Electrical,4
108,8,Which mode  transmission allows light to travel for long distance?,Vaccum,Single,Multi,Mixed,2
109,8,Change in direction of a wave due to change in velocity is called?,Refraction,Reflection,Difraction,Dispersion,1
110,8,How many DS-0 signals equals one DS-1 signal?,4,8,12,24,4
111,8,Where is the Lambda Xtreme Product deployed to greatest effect?,Long-Haul Networks,Metro Networks,Access Networks,All of the above,1
112,8,At what rate do SONET and SDH differ?,STS – 1,STS – 3c,STS-12,STS-192,1
113,8,Bit-stuffing is used to negate sync problems in SONET/SDH?,TRUE,FALSE,Can't Say,No enough information,2
114,8,LambdaUnite can be used as a -----------------?,Switch,Add-Drop Multiplexer,Broad-band crossconnect,All of the above,4
115,8,Raman Amplification principle is used in ------------------------ product?,LambdaUnite MSS,DMX Xtend Access Multiplexer,LambdaXtreme,All of the above,3
116,8,XFP/SFP is used in packs for?,Interfacing the motherboards to the equipment,Nothing. They just look cool,Translating from one protocol to another,Anchoring the cables securely to the pack,1
117,8,Which of the following is false about SONET/SDH?,It is used as a transport mechanism to move data from point to point,It is capable of carrying only certain types of protocols,It is capable of providing OAMP functionality.,It uses master-slave techniques for the clock synchronization functions,2
118,8,Which NE was used in designing the 100 GBPS video streaming via broadband recently by Alcatel-Lucent for Verizon,Metropolis WSM,Lambda Xtreme,DMX,None of the above,2
119,8,Bit rate of OC192 optical carrier is?,40 Gbps,5 Gbps,1 Gbps,10 Gbps,4
120,8,In DWDM systems Optical Amplifiers are required for short distance transmission,TRUE,FALSE,Can't Say,No enough information,2
121,8,Full Form of DCM is?,Diifraction Compensation Module,Dispersion Clearance Module,Dispersion Compensation Module,Dispersion Compensation Mode,3
122,8,The NE in Alcatel-Lucent which supports TDM DWDM and Packet switching is?,WSM,Xtreme,1850 TSS,Unite,3
123,8,The maximum number of channels supported by Lambda Xtreme product is?,64,128,256,None,2
124,8,Can 1850 TSS be used for providing 3G mobile services like WiMax?,TRUE,FALSE,Can't Say,No enough information,1
125,8,Full form of Wi-Fi?,Wireless Field,Wireless Fidelity,Wireless Function,Wireless Field,2
126,8,Long Haul Networks supports which of the following topologies?,Ring,Mesh,Point to Point,All of the above,4
127,8,Raman packs can be installed in?,OADM systems,ROADM systems,Repeaters,All of the above,4
128,8,Which of the following are reasons why SONET/SDH was introduced?,A single unifying standard to enable ease of interconnection between networks,Capability to administer and monitor networks,Reducing equipment in networks,All of the above,4
129,8,Optical Fibers work on the principle of?,Dispersion,Reflection,Refraction,Total Internal Reflection,4
130,8,What is a Network Element in a SONET/SDH Network?,Terminal Multiplexer,Repeater,Optical Amplifier,All of the above,4
