que_id,test_id,que_desc,ans1,ans2,ans3,ans4,true_ans
35,8,Line overhead consists of ________ bytes?,1,6,9,18,4
36,8,The path overhead consists of ______ bytes?,1,6,9,18,3
37,8,In ________ APS there are normally two lines: one working line and oneprotection line. Both lines are active all the time?,1+1,1:one,1:many,None,1
38,8,In ______ APS there is one working line and one protection line. The data are normally sent on the working line until it fails?,1+1,1:one,1:many,None,2
39,8,In ________APS there is only one protection line for many working lines. When a failure occurs in one of the working lines the protection line takescontrol until the failed line is repaired?,1+1,1:one,1:many,None,3
40,8,A basic multiplexer principle can be demonstrated through the use of a?,Single Pole Relay,DPDT Switch,Rotary switch,Linear Stepper,3
41,8,One multiplexer can take the place of?,several SSI logic gates ,combinational logic circuits ,several Ex-NOR gates ,several SSI logic gates or combinational logic circuits,4
42,8,How many select lines would be required for an 8-line-to-1-line multiplexer?,2,3,4,8,2
43,8,What is the function of an enable input on a multiplexer chip?,to apply Vcc,to connect ground,to active the entire chip ,to active one half of the chip,3
44,8,The inputs/outputs of an analog multiplexer/demultiplexer are?,bidirectional ,unidirectional ,even parity,binary-coded decimal,1
45,8,Most demultiplexers facilitate which type of conversion?,decimal-to-hexadecimal,single input multiple outputs,ac to dc ,odd parity to even parity,2
46,8,Why is a demultiplexer called a data distributor?,The input will be distributed to one of the outputs,One of the inputs will be selected for the output,The output will be distributed to one of the inputs,None,1
47,8,Why can a CMOS IC be used as both a multiplexer and a demultiplexer?,It cannot be used as both,CMOS uses bidirectional switches,CMOS uses unidirectional switches,None,2
48,8,One application of a digital multiplexer is to facilitate,data generation,serial-to-parallel conversion,parity checking,data selector,4
49,8,The sharing of a medium and its link by two or more devices is called?,modulation ,encoding ,line discipline,multiplexing ,4
50,8,Which multiplexing technique transmits analog signals?,FDM,TDM,WDM,(a) and ( C),4
51,8,Which multiplexing technique transmits digital signals?,FDM,TDM,WDM,None,2
52,8,Which multiplexing technique shifts each signal to a different carrier frequency?,FDM,TDM,Both,None,1
53,8,In TDM the transmission rate of the multiplexed path is usually _______ the sum of the transmission rates of the signal sources?,greater than,less than,equal to,not related to,1
54,8,Which multiplexing technique involves signals composed of light beams?,FDM,TDM,WDM,None,3
55,8,____ can be achieved by using multiplexing and ______ can be achieved by using spreading?,Efficiency; privacy and antijamming ,Privacy and antijamming; efficiency ,Privacy and efficiency; antijamming ,Efficiency and antijamming; privacy,1
56,8,_____ is the set of techniques that allows the simultaneous transmission of multiple signals across a single data link?,Demodulating ,Multiplexing ,Compressing ,None,2
57,8,In a multiplexed system __ lines share the bandwidth of ____ link?,1: n,1; 1,n: 1,n: n,3
58,8,___ is an analog multiplexing technique to combine optical signals?,FDM,TDM,WDM,None,3
59,8,_____ is a digital process that allows several connections to share the high bandwidth of a link?,FDM,TDM,WDM,None,2
60,8,_____ is a digital multiplexing technique for combining several low-rate channels into one high-rate one?,FDM,TDM,WDM,None,2
61,8,________ boost the strength of the optical signal?,Optical Amplifiers,photo detectors,Core,Cladding,1
62,8,Optical amplifiers are devices which are used to amplify the signals passing in optical fiber cables. One of the technologies used for manufacturing optical amplifiers is ________________?,Jaccop?s amplifiers,Copper Amplifier,Iorn Amplifier,Raman Amplifier,4
63,8,Which of the following is an optical amplifiers?,Semiconductor optical amplifiers,Fiber Raman amplifiers,Rare earth doped amplifiers,All the above,4
64,8,An optical amplifier is a device that amplifies an _______  Signal directly without the need to first convert it to an ______ signal?,Optical - Electrical,Electrical - Optical,Optical - Optical,Eletrical - Electrical,1
65,8,A transponder is typically characterized by its?,Wavelength,Data rate,amplification,None,2
66,8,Major functions of a fiber optic transponder includes?,Electrical and optical signals conversions,Control and monitoring,Both,None,3
67,8,Pluggable is an interface between network device (mother board)  to an?,Amplifier,Transmitter,Fiberoptics Cable,None,3
